"SCHOOL_DISTRICT_NUMBER","SCHOOL_DISTRICT_NAME","year","GRADE","NUMBER_WRITERS","AVG_SCORE","AVG_SCORE_Z","MEDIAN_SCORE","STDEV_SCORE","PROVINCE_AVG","PROVINCE_SD","pm25","burned_ha","fire_count"
33,"Chilliwack",2018,"07","825",349.2171,-0.0320565846144281,410,200.7567,356.6422,231.6248,7.45417404174805,6207,6
33,"Chilliwack",2019,"04","926",426.939,0.256975313147923,462,173.1684,366.7404,234.2583,4.75586996078491,5,1
33,"Chilliwack",2019,"07","933",389.1696,0.137335195662575,425,176.522,357.1648,233.0415,4.75586996078491,5,1
33,"Chilliwack",2020,"04","881",423.6521,0.333074112704224,469,200.5242,338.5485,255.5095,5.0623993396759,18,3
33,"Chilliwack",2020,"07","838",335.6097,0.067085851507439,402,207.5783,318.5741,253.9373,5.0623993396759,18,3
33,"Chilliwack",2021,"04","941",462.3749,-0.248960237121911,452.6023,98.4667,490.3953,112.5497,5.7961790561676,14923,7
33,"Chilliwack",2021,"07","1010",438.032,-0.304819134350086,439.6537,98.5211,474.0476,118.154,5.7961790561676,14923,7
33,"Chilliwack",2022,"04","967",459.3219,-0.179510095994703,458.7295,97.6838,479.387,111.777,8.80363812446594,6966,12
33,"Chilliwack",2022,"07","943",416.8798,-0.447841977270035,411.328,92.6541,468.296,114.8088,8.80363812446594,6966,12
33,"Chilliwack",2023,"04","968",482.2463,0.0436786446444474,485.8175,100.9763,477.3267,112.6317,7.76600456237793,2329,10
33,"Chilliwack",2023,"07","974",428.9467,-0.269014696139045,427.0244,99.1861,460.2924,116.5204,7.76600456237793,2329,10
33,"Chilliwack",2024,"04","1066",489.5731,0.0905405268064452,487.215,98.5974,479.7736,108.2333,6.23011002540588,4556,4
33,"Chilliwack",2024,"07","1077",440.5544,-0.259374530373132,436.2482,93.5023,469.7227,112.4563,6.23011002540588,4556,4
34,"Abbotsford",2017,"04","1365",438.9781,0.307640205545022,460,148.5628,369.7585,225.0018,7.37585678100586,94,2
34,"Abbotsford",2017,"07","1296",441.9279,0.337167268418202,458,138.3764,365.4176,226.9209,7.37585678100586,94,2
34,"Abbotsford",2018,"04","1425",441.7021,0.349343827785379,461,142.2186,361.6057,229.2767,6.900634765625,440,4
34,"Abbotsford",2018,"07","1347",443.5942,0.375400216211736,466,147.0181,356.6422,231.6248,6.900634765625,440,4
34,"Abbotsford",2019,"04","1428",439.5418,0.310774047280288,463.5,148.7198,366.7404,234.2583,5.18266630172729,5,1
34,"Abbotsford",2019,"07","1386",434.7475,0.332913665591751,454,143.2376,357.1648,233.0415,5.18266630172729,5,1
34,"Abbotsford",2020,"04","1294",398.3427,0.234019478727797,447,189.9266,338.5485,255.5095,6.85732436180115,17,2
34,"Abbotsford",2020,"07","1220",398.1094,0.313208417983494,448,194.5105,318.5741,253.9373,6.85732436180115,17,2
34,"Abbotsford",2021,"04","1387",437.4286,-0.470607207304862,433.7257,95.6946,490.3953,112.5497,5.97451548576355,223,1
34,"Abbotsford",2021,"07","1375",447.7546,-0.222531611286965,450.4482,102.7584,474.0476,118.154,5.97451548576355,223,1
34,"Abbotsford",2022,"04","1386",452.1144,-0.243991160972293,452.6562,93.7301,479.387,111.777,5.95654945373535,586,3
34,"Abbotsford",2022,"07","1327",448.0943,-0.175959508330372,446.1232,102.6355,468.296,114.8088,5.95654945373535,586,3
34,"Abbotsford",2023,"04","1357",461.5649,-0.139941064549323,461.5606,97.2191,477.3267,112.6317,7.16691131591797,1347,9
34,"Abbotsford",2023,"07","1405",434.2337,-0.223640667213638,432.5758,98.8764,460.2924,116.5204,7.16691131591797,1347,9
34,"Abbotsford",2024,"04","1387",453.2361,-0.245187941234352,454.406,94.204,479.7736,108.2333,6.5359227180481,11,3
34,"Abbotsford",2024,"07","1389",446.9257,-0.202718744970268,445.1762,103.2092,469.7227,112.4563,6.5359227180481,11,3
35,"Langley",2017,"04","1269",401.4256,0.140741540734341,463,200.6304,369.7585,225.0018,7.6218918800354,0,1
35,"Langley",2017,"07","1208",376.0404,0.0468127880684414,445,213.2923,365.4176,226.9209,7.6218918800354,0,1
35,"Langley",2018,"04","1480",425.8438,0.280177183289885,464,169.5468,361.6057,229.2767,6.34212689399719,124,5
35,"Langley",2018,"07","1324",404.2332,0.205465908659176,442.5,181.6455,356.6422,231.6248,6.34212689399719,124,5
35,"Langley",2019,"04","1376",429.8997,0.269613926166117,471,181.5615,366.7404,234.2583,4.98436107635498,9,2
35,"Langley",2019,"07","1386",398.9739,0.179406243094041,439,187.3846,357.1648,233.0415,4.98436107635498,9,2
35,"Langley",2020,"04","1342",392.9239,0.212811656709437,465,222.6131,338.5485,255.5095,6.85137181282043,17,2
35,"Langley",2020,"07","1264",370.1187,0.202981602151397,437,216.9065,318.5741,253.9373,6.85137181282043,17,2
35,"Langley",2021,"04","1504",479.9947,-0.0924089535556292,478.4736,100.1689,490.3953,112.5497,6.03630766868591,0,0
35,"Langley",2021,"07","1627",457.5554,-0.139582240127291,456.4769,110.1524,474.0476,118.154,6.03630766868591,0,0
35,"Langley",2022,"04","1520",472.7244,-0.0596061801622874,474.5737,101.211,479.387,111.777,5.26206102371216,11,2
